age,salary,purchases,churn
37,91938,9,0
24,113512,14,0
19,25798,12,0
22,64345,15,0
53,48491,1,1
23,38607,5,0
33,118016,1,0
24,48642,1,1
43,32311,1,1
30,96641,15,0
55,61346,14,0
32,111408,10,0
35,99174,14,0
37,42755,8,0
27,117859,6,0
30,52095,9,0
55,83741,15,0
53,107150,4,0
30,97287,6,0
49,84809,8,0
33,31284,13,0
30,102019,16,0
50,45007,5,0
18,32604,7,0
32,77492,4,0
25,25702,17,0
54,96742,17,0
37,37625,9,0
36,61197,11,0
41,21590,19,0
53,23504,6,0
23,61632,18,0
19,109912,1,0
35,99570,12,0
52,59631,4,0
57,69911,5,0
22,91700,14,0
41,58858,5,0
52,25707,17,0
48,28598,7,0
48,44709,2,1
55,110579,2,0
55,37122,13,0
46,58827,16,0
25,24315,5,0
52,20363,4,1
32,41122,5,0
56,119035,4,0
25,29037,0,1
46,87081,8,0
48,119398,19,0
57,58150,12,0
35,53802,4,0
49,21177,8,0
42,80336,8,0
46,60639,12,0
43,60939,2,0
38,21979,8,0
56,90813,5,0
35,115665,16,0
29,115182,5,0
49,66693,15,0
40,119391,12,0
28,69066,1,0
57,89202,3,0
43,77880,10,0
29,64784,19,0
31,50253,11,0
38,63633,13,0
25,35195,2,1
21,96165,2,0
51,22249,9,0
32,61416,2,0
52,37835,9,0
52,87768,9,0
39,36332,2,1
47,47880,12,0
36,38427,12,0
24,98168,11,0
47,57947,16,0
32,58440,2,0
57,83779,9,0
45,34698,2,1
35,85357,8,0
38,93031,19,0
28,68076,9,0
25,59598,4,0
35,73301,16,0
45,83389,11,0
53,82255,19,0
29,110117,10,0
46,23947,2,1
27,51066,6,0
18,69801,3,0
41,111257,9,0
19,58207,16,0
56,49256,18,0
21,73350,10,0
25,76676,8,0
25,82954,12,0
55,29527,5,0
33,96278,5,0
46,88446,0,0
50,87429,7,0
59,42299,5,0
40,96972,2,0
54,40572,10,0
32,70674,15,0
27,60606,16,0
50,38321,8,0
29,77770,12,0
25,32834,2,1
37,75239,6,0
21,27910,4,1
53,109900,6,0
22,70276,0,0
29,117897,14,0
59,64131,8,0
49,71906,10,0
44,29381,14,0
48,85590,5,0
33,37872,18,0
28,110531,3,0
28,99486,19,0
36,95126,4,0
59,80606,6,0
55,53682,13,0
41,73729,4,0
48,55076,14,0
23,105785,2,0
37,79281,0,0
39,30652,5,0
26,32878,15,0
35,112367,11,0
23,69522,0,0
30,69745,11,0
32,26616,3,1
51,104420,16,0
48,38712,11,0
41,54761,2,0
35,25832,2,1
35,42073,18,0
20,56739,16,0
54,105809,11,0
36,105375,7,0
33,112737,16,0
34,34519,0,1
53,105449,11,0
54,73367,10,0
27,25606,13,0
23,87064,11,0
55,26170,14,0
19,28363,14,0
22,88485,9,0
43,26633,17,0
35,52540,19,0
38,38570,16,0
31,84083,5,0
56,23350,1,1
52,101308,16,0
47,96205,1,0
47,37256,0,1
35,24391,13,0
29,80203,11,0
18,54484,16,0
38,68434,11,0
26,109652,18,0
32,31933,9,0
56,21801,8,0
42,52791,1,0
49,82676,6,0
51,77393,3,0
52,112145,6,0
41,36074,10,0
33,54375,9,0
53,28640,10,0
55,96927,18,0
34,97969,11,0
27,49997,14,0
23,94939,14,0
39,85539,2,0
41,105095,16,0
31,75045,1,0
27,92855,0,0
21,79839,11,0
25,36139,15,0
29,118177,8,0
28,75687,6,0
40,95095,4,0
34,112913,15,0
31,91989,19,0
30,116291,2,0
26,118478,0,0
38,59057,14,0
41,108478,2,0
28,37890,15,0
49,89030,14,0
50,39635,0,1
43,39515,8,0
44,114178,18,0
41,22014,13,0
45,58106,9,0
31,115527,12,0
25,78825,10,0
46,103589,8,0
58,102898,11,0
51,85293,0,0
25,118628,3,0
37,83999,12,0
33,119106,13,0
39,24406,6,0
40,114296,19,0
44,76579,16,0
55,78060,6,0
38,34222,11,0
53,26787,8,0
24,78982,7,0
49,88808,13,0
55,80942,0,0
49,93613,19,0
18,49281,11,0
44,33206,2,1
24,102402,14,0
48,30423,4,1
41,64983,13,0
40,30311,2,1
19,42802,12,0
42,56672,14,0
52,45909,18,0
30,24300,9,0
56,68090,1,0
31,59225,8,0
31,36956,16,0
59,82016,16,0
57,39269,2,1
19,83218,14,0
50,75328,11,0
23,96502,18,0
28,117120,17,0
44,56844,11,0
33,111777,19,0
46,49895,13,0
