age,salary,purchases,churn,customer_value
37,91938,9,0,827442
24,113512,14,0,1589168
19,25798,12,0,309576
22,64345,15,0,965175
53,48491,1,1,48491
23,38607,5,0,193035
33,118016,1,0,118016
24,48642,1,1,48642
43,32311,1,1,32311
30,96641,15,0,1449615
55,61346,14,0,858844
32,111408,10,0,1114080
35,99174,14,0,1388436
37,42755,8,0,342040
27,117859,6,0,707154
30,52095,9,0,468855
55,83741,15,0,1256115
53,107150,4,0,428600
30,97287,6,0,583722
49,84809,8,0,678472
33,31284,13,0,406692
30,102019,16,0,1632304
50,45007,5,0,225035
18,32604,7,0,228228
32,77492,4,0,309968
25,25702,17,0,436934
54,96742,17,0,1644614
37,37625,9,0,338625
36,61197,11,0,673167
41,21590,19,0,410210
53,23504,6,0,141024
23,61632,18,0,1109376
19,109912,1,0,109912
35,99570,12,0,1194840
52,59631,4,0,238524
57,69911,5,0,349555
22,91700,14,0,1283800
41,58858,5,0,294290
52,25707,17,0,437019
48,28598,7,0,200186
48,44709,2,1,89418
55,110579,2,0,221158
55,37122,13,0,482586
46,58827,16,0,941232
25,24315,5,0,121575
52,20363,4,1,81452
32,41122,5,0,205610
56,119035,4,0,476140
25,29037,0,1,0
46,87081,8,0,696648
48,119398,19,0,2268562
57,58150,12,0,697800
35,53802,4,0,215208
49,21177,8,0,169416
42,80336,8,0,642688
46,60639,12,0,727668
43,60939,2,0,121878
38,21979,8,0,175832
56,90813,5,0,454065
35,115665,16,0,1850640
29,115182,5,0,575910
49,66693,15,0,1000395
40,119391,12,0,1432692
28,69066,1,0,69066
57,89202,3,0,267606
43,77880,10,0,778800
29,64784,19,0,1230896
31,50253,11,0,552783
38,63633,13,0,827229
25,35195,2,1,70390
21,96165,2,0,192330
51,22249,9,0,200241
32,61416,2,0,122832
52,37835,9,0,340515
52,87768,9,0,789912
39,36332,2,1,72664
47,47880,12,0,574560
36,38427,12,0,461124
24,98168,11,0,1079848
47,57947,16,0,927152
32,58440,2,0,116880
57,83779,9,0,754011
45,34698,2,1,69396
35,85357,8,0,682856
38,93031,19,0,1767589
28,68076,9,0,612684
25,59598,4,0,238392
35,73301,16,0,1172816
45,83389,11,0,917279
53,82255,19,0,1562845
29,110117,10,0,1101170
46,23947,2,1,47894
27,51066,6,0,306396
18,69801,3,0,209403
41,111257,9,0,1001313
19,58207,16,0,931312
56,49256,18,0,886608
21,73350,10,0,733500
25,76676,8,0,613408
25,82954,12,0,995448
55,29527,5,0,147635
33,96278,5,0,481390
46,88446,0,0,0
50,87429,7,0,612003
59,42299,5,0,211495
40,96972,2,0,193944
54,40572,10,0,405720
32,70674,15,0,1060110
27,60606,16,0,969696
50,38321,8,0,306568
29,77770,12,0,933240
25,32834,2,1,65668
37,75239,6,0,451434
21,27910,4,1,111640
53,109900,6,0,659400
22,70276,0,0,0
29,117897,14,0,1650558
59,64131,8,0,513048
49,71906,10,0,719060
44,29381,14,0,411334
48,85590,5,0,427950
33,37872,18,0,681696
28,110531,3,0,331593
28,99486,19,0,1890234
36,95126,4,0,380504
59,80606,6,0,483636
55,53682,13,0,697866
41,73729,4,0,294916
48,55076,14,0,771064
23,105785,2,0,211570
37,79281,0,0,0
39,30652,5,0,153260
26,32878,15,0,493170
35,112367,11,0,1236037
23,69522,0,0,0
30,69745,11,0,767195
32,26616,3,1,79848
51,104420,16,0,1670720
48,38712,11,0,425832
41,54761,2,0,109522
35,25832,2,1,51664
35,42073,18,0,757314
20,56739,16,0,907824
54,105809,11,0,1163899
36,105375,7,0,737625
33,112737,16,0,1803792
34,34519,0,1,0
53,105449,11,0,1159939
54,73367,10,0,733670
27,25606,13,0,332878
23,87064,11,0,957704
55,26170,14,0,366380
19,28363,14,0,397082
22,88485,9,0,796365
43,26633,17,0,452761
35,52540,19,0,998260
38,38570,16,0,617120
31,84083,5,0,420415
56,23350,1,1,23350
52,101308,16,0,1620928
47,96205,1,0,96205
47,37256,0,1,0
35,24391,13,0,317083
29,80203,11,0,882233
18,54484,16,0,871744
38,68434,11,0,752774
26,109652,18,0,1973736
32,31933,9,0,287397
56,21801,8,0,174408
42,52791,1,0,52791
49,82676,6,0,496056
51,77393,3,0,232179
52,112145,6,0,672870
41,36074,10,0,360740
33,54375,9,0,489375
53,28640,10,0,286400
55,96927,18,0,1744686
34,97969,11,0,1077659
27,49997,14,0,699958
23,94939,14,0,1329146
39,85539,2,0,171078
41,105095,16,0,1681520
31,75045,1,0,75045
27,92855,0,0,0
21,79839,11,0,878229
25,36139,15,0,542085
29,118177,8,0,945416
28,75687,6,0,454122
40,95095,4,0,380380
34,112913,15,0,1693695
31,91989,19,0,1747791
30,116291,2,0,232582
26,118478,0,0,0
38,59057,14,0,826798
41,108478,2,0,216956
28,37890,15,0,568350
49,89030,14,0,1246420
50,39635,0,1,0
43,39515,8,0,316120
44,114178,18,0,2055204
41,22014,13,0,286182
45,58106,9,0,522954
31,115527,12,0,1386324
25,78825,10,0,788250
46,103589,8,0,828712
58,102898,11,0,1131878
51,85293,0,0,0
25,118628,3,0,355884
37,83999,12,0,1007988
33,119106,13,0,1548378
39,24406,6,0,146436
40,114296,19,0,2171624
44,76579,16,0,1225264
55,78060,6,0,468360
38,34222,11,0,376442
53,26787,8,0,214296
24,78982,7,0,552874
49,88808,13,0,1154504
55,80942,0,0,0
49,93613,19,0,1778647
18,49281,11,0,542091
44,33206,2,1,66412
24,102402,14,0,1433628
48,30423,4,1,121692
41,64983,13,0,844779
40,30311,2,1,60622
19,42802,12,0,513624
42,56672,14,0,793408
52,45909,18,0,826362
30,24300,9,0,218700
56,68090,1,0,68090
31,59225,8,0,473800
31,36956,16,0,591296
59,82016,16,0,1312256
57,39269,2,1,78538
19,83218,14,0,1165052
50,75328,11,0,828608
23,96502,18,0,1737036
28,117120,17,0,1991040
44,56844,11,0,625284
33,111777,19,0,2123763
46,49895,13,0,648635
24,28368,13,0,368784
32,66761,15,0,1001415
25,117598,16,0,1881568
59,41520,2,1,83040
56,99930,13,0,1299090
55,106148,19,0,2016812
56,115856,6,0,695136
21,106983,8,0,855864
52,23065,9,0,207585
59,71149,8,0,569192
19,54109,14,0,757526
55,28802,1,1,28802
37,115392,0,0,0
48,83086,6,0,498516
44,36890,12,0,442680
50,109461,14,0,1532454
50,97818,10,0,978180
40,93916,10,0,939160
38,47515,13,0,617695
37,76803,8,0,614424
53,41903,2,1,83806
35,95945,1,0,95945
46,109167,3,0,327501
36,81257,13,0,1056341
43,80710,0,0,0
29,27140,5,0,135700
18,36499,3,1,109497
51,110202,10,0,1102020
28,62234,9,0,560106
49,91358,2,0,182716
44,88155,18,0,1586790
34,42633,16,0,682128
20,113772,6,0,682632
24,37463,2,1,74926
28,29541,17,0,502197
20,83352,14,0,1166928
44,102825,4,0,411300
43,118977,1,0,118977
44,20960,11,0,230560
41,50277,14,0,703878
20,33826,0,1,0
44,78332,9,0,704988
45,75615,10,0,756150
53,45075,10,0,450750
48,118853,1,0,118853
46,101395,16,0,1622320
18,98412,4,0,393648
54,47714,11,0,524854
47,93975,13,0,1221675
22,100602,4,0,402408
34,52536,10,0,525360
20,90738,8,0,725904
23,25659,14,0,359226
43,111795,18,0,2012310
36,111752,1,0,111752
34,89623,2,0,179246
29,63504,10,0,635040
50,77782,18,0,1400076
49,32842,14,0,459788
25,115314,8,0,922512
36,62053,0,0,0
34,97032,5,0,485160
43,85687,9,0,771183
30,38537,7,0,269759
44,58897,1,0,58897
56,41306,6,0,247836
43,22568,4,1,90272
52,109133,7,0,763931
43,64690,1,0,64690
51,86388,15,0,1295820
54,82290,14,0,1152060
54,108466,1,0,108466
33,116029,0,0,0
22,41457,14,0,580398
28,44593,11,0,490523
31,32826,15,0,492390
43,42206,14,0,590884
46,72846,10,0,728460
30,97383,6,0,584298
18,101338,0,0,0
24,91003,15,0,1365045
23,81257,16,0,1300112
36,101087,3,0,303261
54,115463,5,0,577315
41,86923,7,0,608461
28,30009,14,0,420126
35,35890,8,0,287120
54,30702,9,0,276318
26,79385,5,0,396925
19,75066,10,0,750660
45,92376,8,0,739008
27,109824,16,0,1757184
20,85998,18,0,1547964
34,71930,13,0,935090
20,107792,14,0,1509088
20,28595,5,0,142975
55,29273,7,0,204911
55,36623,19,0,695837
22,61082,6,0,366492
52,32473,4,1,129892
42,62263,5,0,311315
58,26025,11,0,286275
48,105637,7,0,739459
43,74440,12,0,893280
20,28663,7,0,200641
24,110307,6,0,661842
53,36640,11,0,403040
25,76444,17,0,1299548
20,64309,10,0,643090
56,117589,19,0,2234191
52,22738,13,0,295594
49,21459,15,0,321885
39,46186,9,0,415674
38,86730,17,0,1474410
44,88946,8,0,711568
32,97349,18,0,1752282
29,99067,6,0,594402
29,36975,17,0,628575
24,100360,9,0,903240
22,67631,16,0,1082096
54,37713,9,0,339417
19,53621,1,0,53621
21,34341,17,0,583797
52,34440,5,0,172200
25,72717,6,0,436302
34,73432,18,0,1321776
18,68615,16,0,1097840
29,101558,0,0,0
26,115299,17,0,1960083
57,95038,1,0,95038
20,118722,18,0,2136996
53,69869,5,0,349345
37,64327,8,0,514616
43,21327,8,0,170616
37,69302,19,0,1316738
28,108826,10,0,1088260
38,92461,4,0,369844
30,64000,9,0,576000
58,83494,1,0,83494
23,38642,15,0,579630
55,32151,2,1,64302
36,110785,18,0,1994130
39,37449,15,0,561735
46,100916,5,0,504580
34,39761,9,0,357849
40,76427,9,0,687843
21,93911,10,0,939110
42,51252,14,0,717528
55,43602,4,1,174408
34,32465,15,0,486975
22,69995,4,0,279980
58,99526,19,0,1890994
41,47626,15,0,714390
48,78915,2,0,157830
49,62681,1,0,62681
50,109606,7,0,767242
49,99200,8,0,793600
42,33032,17,0,561544
51,25499,3,1,76497
32,45751,12,0,549012
52,110936,14,0,1553104
29,92591,18,0,1666638
21,28826,5,0,144130
55,80309,0,0,0
54,74030,14,0,1036420
21,70295,17,0,1195015
56,44230,12,0,530760
32,111926,10,0,1119260
26,90743,16,0,1451888
57,97479,13,0,1267227
42,42979,1,1,42979
44,37967,17,0,645439
29,108492,3,0,325476
55,65733,16,0,1051728
56,51099,15,0,766485
27,110311,7,0,772177
42,25213,1,1,25213
56,109777,12,0,1317324
55,27884,14,0,390376
56,52020,5,0,260100
37,68619,4,0,274476
25,59614,15,0,894210
56,100068,7,0,700476
50,116206,8,0,929648
49,72023,5,0,360115
38,65833,0,0,0
33,118597,4,0,474388
56,69637,0,0,0
21,67967,13,0,883571
43,110491,0,0,0
37,89807,16,0,1436912
47,77570,0,0,0
24,68192,0,0,0
38,114452,14,0,1602328
47,60160,18,0,1082880
40,74702,4,0,298808
37,105180,5,0,525900
44,39583,11,0,435413
41,47103,3,1,141309
45,104871,11,0,1153581
51,89369,19,0,1698011
46,106246,11,0,1168706
51,88282,12,0,1059384
34,66723,14,0,934122
41,60427,10,0,604270
40,74138,18,0,1334484
32,79136,18,0,1424448
25,31776,10,0,317760
56,45593,14,0,638302
27,68279,10,0,682790
33,42463,4,1,169852
19,43496,1,1,43496
28,35324,16,0,565184
46,64370,15,0,965550
27,69075,18,0,1243350
18,69152,6,0,414912
43,114775,3,0,344325
34,73309,16,0,1172944
52,33562,8,0,268496
47,39514,7,0,276598
28,86805,15,0,1302075
44,54278,7,0,379946
36,99200,3,0,297600
49,119545,1,0,119545
43,78203,5,0,391015
50,66161,7,0,463127
53,111116,13,0,1444508
34,89413,0,0,0
39,87893,6,0,527358
55,84201,9,0,757809
49,71688,13,0,931944
43,74594,19,0,1417286
58,93930,3,0,281790
48,37627,13,0,489151
29,88426,15,0,1326390
26,22517,19,0,427823
43,34654,4,1,138616
58,42865,12,0,514380
53,88981,0,0,0
56,58278,8,0,466224
25,27257,17,0,463369
42,113229,9,0,1019061
52,45423,13,0,590499
43,53751,15,0,806265
27,91335,6,0,548010
20,37897,3,1,113691
47,52418,14,0,733852
19,117951,13,0,1533363
59,77336,15,0,1160040
53,88019,17,0,1496323
53,64720,5,0,323600
21,113250,17,0,1925250
53,67355,4,0,269420
36,86341,2,0,172682
30,99786,16,0,1596576
18,106493,1,0,106493
27,37357,11,0,410927
19,68655,5,0,343275
21,82619,9,0,743571
20,50353,10,0,503530
25,53470,7,0,374290
35,61931,10,0,619310
35,46588,10,0,465880
25,85099,4,0,340396
41,113237,1,0,113237
33,114799,9,0,1033191
50,111261,17,0,1891437
43,99137,17,0,1685329
20,63751,19,0,1211269
26,65377,11,0,719147
45,101249,12,0,1214988
51,47831,2,1,95662
36,42916,5,0,214580
18,108795,4,0,435180
45,103461,7,0,724227
22,87151,11,0,958661
33,112281,1,0,112281
34,38034,14,0,532476
38,79863,2,0,159726
59,22999,11,0,252989
32,45956,0,1,0
27,47245,16,0,755920
28,20999,10,0,209990
29,79232,16,0,1267712
38,37466,2,1,74932
18,73525,15,0,1102875
59,68697,17,0,1167849
35,99831,11,0,1098141
25,78261,6,0,469566
32,81629,11,0,897919
40,58602,0,0,0
31,33780,12,0,405360
32,106608,7,0,746256
47,82635,11,0,908985
55,86479,2,0,172958
45,26388,10,0,263880
47,73572,8,0,588576
41,86639,10,0,866390
55,71596,3,0,214788
29,112112,5,0,560560
54,79330,17,0,1348610
58,43759,11,0,481349
59,47423,1,1,47423
29,35190,3,1,105570
54,86411,16,0,1382576
41,59020,14,0,826280
41,106401,19,0,2021619
34,31136,10,0,311360
39,30389,19,0,577391
58,62028,19,0,1178532
31,117018,10,0,1170180
33,71327,3,0,213981
53,77331,2,0,154662
44,35796,5,0,178980
32,70607,13,0,917891
31,91652,17,0,1558084
42,25080,1,1,25080
38,57761,1,0,57761
24,24554,9,0,220986
29,85618,14,0,1198652
36,31477,15,0,472155
52,34871,6,0,209226
45,84934,17,0,1443878
38,64873,19,0,1232587
21,68537,16,0,1096592
35,72399,0,0,0
34,45266,11,0,497926
38,42452,17,0,721684
20,62777,4,0,251108
54,60460,19,0,1148740
47,107446,17,0,1826582
50,105671,0,0,0
57,48008,1,1,48008
28,114150,4,0,456600
31,78298,13,0,1017874
44,32694,16,0,523104
47,50071,6,0,300426
30,94504,4,0,378016
35,65498,14,0,916972
37,109374,1,0,109374
53,68555,3,0,205665
31,44822,8,0,358576
59,116389,14,0,1629446
49,68689,5,0,343445
43,55694,13,0,724022
30,50496,13,0,656448
30,66620,5,0,333100
31,115167,7,0,806169
51,44249,15,0,663735
21,79744,11,0,877184
34,31970,9,0,287730
53,27106,13,0,352378
49,74267,5,0,371335
24,102869,19,0,1954511
22,86017,14,0,1204238
41,91103,4,0,364412
41,30314,12,0,363768
43,99681,12,0,1196172
28,78168,3,0,234504
53,43590,18,0,784620
47,73407,10,0,734070
21,91927,10,0,919270
56,100764,19,0,1914516
46,34498,8,0,275984
41,65793,16,0,1052688
23,116201,15,0,1743015
35,94326,5,0,471630
31,44091,0,1,0
46,58891,1,0,58891
19,21310,11,0,234410
46,29615,10,0,296150
59,78159,18,0,1406862
52,71425,13,0,928525
51,38538,18,0,693684
51,26486,10,0,264860
31,74493,6,0,446958
54,79238,18,0,1426284
59,53074,7,0,371518
40,43114,2,1,86228
51,51393,13,0,668109
56,55296,5,0,276480
22,59476,1,0,59476
37,47285,12,0,567420
54,102113,6,0,612678
48,27590,12,0,331080
40,92908,17,0,1579436
49,88144,7,0,617008
27,31295,16,0,500720
19,97298,4,0,389192
55,22496,11,0,247456
36,118457,13,0,1539941
32,70902,0,0,0
29,84853,9,0,763677
52,27878,15,0,418170
56,52650,19,0,1000350
22,90758,17,0,1542886
34,61806,17,0,1050702
31,48680,19,0,924920
49,104571,0,0,0
38,79708,18,0,1434744
20,102636,16,0,1642176
37,36406,14,0,509684
42,105173,15,0,1577595
50,118259,13,0,1537367
49,34244,14,0,479416
58,92634,16,0,1482144
51,21968,14,0,307552
28,45173,11,0,496903
59,109472,14,0,1532608
22,68859,5,0,344295
47,65127,7,0,455889
24,85586,11,0,941446
59,24007,3,1,72021
21,92028,17,0,1564476
20,59111,14,0,827554
28,51122,18,0,920196
21,72631,17,0,1234727
21,117554,16,0,1880864
56,114784,14,0,1606976
37,100978,0,0,0
56,73017,14,0,1022238
59,101593,15,0,1523895
25,105857,10,0,1058570
46,105096,12,0,1261152
44,70065,13,0,910845
59,39869,1,1,39869
41,70032,8,0,560256
19,92594,8,0,740752
21,81722,18,0,1470996
50,61008,12,0,732096
23,94966,0,0,0
51,114960,17,0,1954320
51,53166,4,0,212664
36,40159,8,0,321272
49,66583,12,0,798996
33,68850,9,0,619650
20,100110,10,0,1001100
40,111409,9,0,1002681
31,92904,8,0,743232
26,84434,7,0,591038
59,94336,14,0,1320704
58,100211,1,0,100211
58,31106,7,0,217742
38,93201,4,0,372804
39,74279,9,0,668511
45,89384,16,0,1430144
50,42241,8,0,337928
52,49586,16,0,793376
28,93424,9,0,840816
37,55917,13,0,726921
26,35905,1,1,35905
51,73192,14,0,1024688
29,35812,13,0,465556
45,23337,10,0,233370
29,108853,7,0,761971
28,103092,8,0,824736
59,93436,7,0,654052
18,48759,3,1,146277
52,111076,4,0,444304
26,88635,17,0,1506795
21,63271,10,0,632710
47,21419,5,0,107095
48,100323,15,0,1504845
46,101691,13,0,1321983
24,66986,9,0,602874
28,87395,6,0,524370
43,85992,7,0,601944
25,70661,10,0,706610
57,30807,10,0,308070
19,92520,18,0,1665360
31,39213,13,0,509769
58,69163,4,0,276652
48,117285,11,0,1290135
29,108109,6,0,648654
45,44477,10,0,444770
40,45415,10,0,454150
42,99468,12,0,1193616
